incident_id,datetime,area,crime_type,reporter_source,num_offenders,severity,population_density,socio_econ_index,hour,dayofweek,incident_next_24h
WOM100114,2023-10-13 15:57:00,Bhopal North,Harassment,News,1,5,7668,30.4,15,4,0
WOM100115,2023-03-15 12:38:00,Lucknow Central,Abduction,Police_Report,1,2,12670,58.5,12,2,0
WOM100116,2023-05-18 16:46:00,Bengaluru East,Abduction,Social_Media,2,3,10712,55.5,16,3,0
WOM100117,2023-04-25 12:19:00,Bhopal North,Assault,Police_Report,1,5,11521,40.0,12,1,0
WOM100118,2023-08-14 12:47:00,Bhopal North,Abduction,Police_Report,3,2,12134,49.2,12,0,0
WOM100119,2023-09-21 21:09:00,Bhopal North,Abduction,Police_Report,2,3,6083,47.1,21,3,0
WOM100120,2023-10-16 13:15:00,Lucknow Central,Harassment,Police_Report,2,4,4032,22.9,13,0,1
WOM100121,2023-01-31 06:25:00,Pune North,Assault,Police_Report,2,5,12080,56.7,6,1,1
WOM100122,2023-09-15 21:29:00,Mumbai South,Assault,Police_Report,1,4,10447,41.0,21,4,1
WOM100123,2023-02-14 11:24:00,Lucknow Central,Rape,Police_Report,2,2,11110,35.4,11,1,1
WOM100124,2023-11-04 03:36:00,Bengaluru East,Molestation,Police_Report,4,3,9402,60.2,3,5,1
WOM100125,2023-03-18 01:56:00,Jaipur South,Rape,News,1,5,11952,53.6,1,5,0
WOM100126,2023-05-20 01:15:00,Pune North,Domestic Violence,Police_Report,3,5,5292,63.7,1,5,1
WOM100127,2023-01-19 00:19:00,Pune North,Abduction,Police_Report,3,5,12104,48.2,0,3,1
WOM100128,2023-04-17 04:26:00,Jaipur South,Domestic Violence,Police_Report,3,4,1767,53.2,4,0,0
WOM100129,2023-07-20 04:09:00,Delhi Central,Molestation,Police_Report,2,3,9045,62.0,4,3,1
WOM100130,2023-02-22 14:46:00,Chennai Central,Harassment,Social_Media,2,3,10057,75.1,14,2,1
WOM100131,2023-10-11 23:23:00,Mumbai South,Abduction,Police_Report,2,3,4626,45.3,23,2,1
WOM100132,2023-10-16 07:52:00,Mumbai South,Domestic Violence,Police_Report,4,4,17053,53.7,7,0,0
WOM100133,2023-09-26 22:21:00,Delhi Central,Domestic Violence,Police_Report,1,2,11607,58.6,22,1,1
WOM100134,2023-11-12 16:29:00,Chennai Central,Harassment,Social_Media,4,4,8966,58.5,16,6,1
WOM100135,2023-04-06 17:28:00,Mumbai South,Abduction,Police_Report,2,2,19525,42.3,17,3,0
WOM100136,2023-03-30 20:28:00,Bengaluru East,Domestic Violence,Police_Report,2,4,12880,48.3,20,3,0
WOM100137,2023-10-07 15:30:00,Kolkata North,Assault,Police_Report,1,3,13395,58.5,15,5,1
WOM100138,2023-12-13 13:26:00,Kolkata North,Domestic Violence,Police_Report,3,3,11034,52.6,13,2,1
WOM100139,2023-11-10 09:09:00,Mumbai South,Assault,Police_Report,2,3,9768,78.7,9,4,0
WOM100140,2023-01-16 05:59:00,Hyderabad West,Molestation,News,2,4,12754,45.4,5,0,0
WOM100141,2023-06-08 17:36:00,Mumbai South,Abduction,Social_Media,3,5,576,38.0,17,3,0
WOM100142,2023-04-26 03:58:00,Jaipur South,Abduction,Police_Report,1,4,4432,57.3,3,2,1
WOM100143,2023-08-22 02:34:00,Jaipur South,Harassment,Police_Report,1,2,5902,35.9,2,1,1
WOM100144,2023-02-12 10:07:00,Chennai Central,Harassment,Police_Report,3,4,2347,43.1,10,6,1
WOM100145,2023-03-24 06:11:00,Bhopal North,Abduction,Police_Report,3,2,13782,51.2,6,4,0
WOM100146,2023-11-07 20:00:00,Pune North,Assault,Police_Report,1,4,8837,49.5,20,1,1
WOM100147,2023-11-02 09:52:00,Bengaluru East,Abduction,Police_Report,2,5,16547,49.1,9,3,0
WOM100148,2023-01-28 07:53:00,Delhi Central,Harassment,News,1,5,10833,41.5,7,5,0
WOM100149,2023-05-15 01:55:00,Mumbai South,Rape,Police_Report,2,3,8162,55.5,1,0,0
WOM100150,2023-05-29 19:23:00,Bhopal North,Domestic Violence,News,3,5,11067,82.6,19,0,0
WOM100151,2023-08-07 15:57:00,Bhopal North,Harassment,Police_Report,2,4,15781,62.4,15,0,0
WOM100152,2023-02-15 08:38:00,Bengaluru East,Abduction,Police_Report,1,5,10335,22.3,8,2,0
WOM100153,2023-12-02 04:50:00,Delhi Central,Rape,Police_Report,4,3,16324,43.9,4,5,0
WOM100154,2023-10-17 12:00:00,Jaipur South,Abduction,Social_Media,2,4,15721,58.0,12,1,0
WOM100155,2023-03-06 18:24:00,Lucknow Central,Assault,Police_Report,1,2,9040,27.6,18,0,1
WOM100156,2023-06-06 10:41:00,Bengaluru East,Domestic Violence,Social_Media,3,4,9374,13.7,10,1,0
WOM100157,2023-10-01 15:50:00,Bhopal North,Harassment,Social_Media,1,3,9153,39.1,15,6,0
WOM100158,2023-09-02 14:28:00,Kolkata North,Assault,Social_Media,1,5,6512,37.9,14,5,0
WOM100159,2023-10-27 21:19:00,Mumbai South,Harassment,Social_Media,3,5,5378,74.6,21,4,0
WOM100160,2023-07-07 04:16:00,Chennai Central,Abduction,Social_Media,2,4,9333,55.3,4,4,1
WOM100161,2023-08-09 17:04:00,Kolkata North,Harassment,Social_Media,1,2,1577,47.8,17,2,0
WOM100162,2023-06-28 18:26:00,Bhopal North,Molestation,Police_Report,3,2,6771,45.3,18,2,0
WOM100163,2023-05-04 11:09:00,Pune North,Assault,Social_Media,1,2,13211,56.8,11,3,1
WOM100164,2023-12-23 08:33:00,Hyderabad West,Harassment,News,1,2,5705,53.0,8,5,1
WOM100165,2023-03-29 06:17:00,Delhi Central,Assault,Police_Report,2,4,16388,56.7,6,2,1
WOM100166,2023-06-13 07:27:00,Jaipur South,Harassment,News,2,5,13623,54.8,7,1,0
WOM100167,2023-11-30 19:11:00,Mumbai South,Abduction,Police_Report,1,2,18641,65.6,19,3,1
WOM100168,2023-02-18 22:27:00,Chennai Central,Assault,Police_Report,2,4,19486,50.5,22,5,1
WOM100169,2023-05-08 14:14:00,Lucknow Central,Harassment,Police_Report,4,4,14190,61.7,14,0,0
WOM100170,2023-03-18 05:11:00,Jaipur South,Harassment,Police_Report,2,4,8856,55.4,5,5,0
WOM100171,2023-09-22 14:50:00,Mumbai South,Assault,Social_Media,3,2,4582,53.0,14,4,0
WOM100172,2023-11-17 04:39:00,Lucknow Central,Harassment,News,2,2,5317,44.0,4,4,1
WOM100173,2023-09-13 20:52:00,Chennai Central,Domestic Violence,Social_Media,6,4,19063,49.0,20,2,1
WOM100174,2023-03-15 16:01:00,Bhopal North,Abduction,News,1,4,5234,49.3,16,2,0
WOM100175,2023-03-18 10:38:00,Hyderabad West,Abduction,Police_Report,2,4,10342,66.2,10,5,1
WOM100176,2023-01-16 17:51:00,Kolkata North,Abduction,Police_Report,2,5,16019,53.5,17,0,1
WOM100177,2023-10-18 13:20:00,Kolkata North,Abduction,Police_Report,2,5,7705,36.4,13,2,1
WOM100178,2023-09-04 21:28:00,Bhopal North,Molestation,Social_Media,2,3,16481,26.8,21,0,1
WOM100179,2023-02-05 21:03:00,Jaipur South,Harassment,Police_Report,1,3,10951,32.9,21,6,0
WOM100180,2023-01-11 21:48:00,Bhopal North,Harassment,News,4,2,12081,39.7,21,2,0
WOM100181,2023-08-05 15:15:00,Bhopal North,Harassment,Social_Media,1,5,10057,56.9,15,5,0
WOM100182,2023-04-03 23:23:00,Mumbai South,Harassment,News,1,3,7532,40.7,23,0,0
WOM100183,2023-08-10 02:34:00,Mumbai South,Harassment,Police_Report,1,4,13985,68.4,2,3,0
WOM100184,2023-03-20 03:47:00,Chennai Central,Domestic Violence,Police_Report,1,4,13491,31.6,3,0,1
WOM100185,2023-04-09 22:43:00,Hyderabad West,Assault,Social_Media,1,2,14163,59.9,22,6,0
WOM100186,2023-05-30 04:35:00,Mumbai South,Molestation,Social_Media,6,2,15266,22.1,4,1,0
WOM100187,2023-10-07 02:16:00,Chennai Central,Harassment,Police_Report,1,3,9504,33.2,2,5,1
WOM100188,2023-02-28 22:56:00,Pune North,Assault,News,1,4,13489,35.1,22,1,1
WOM100189,2023-11-28 07:35:00,Bhopal North,Molestation,News,5,2,14833,34.9,7,1,0
WOM100190,2023-02-19 12:15:00,Bhopal North,Rape,Police_Report,2,2,12877,40.4,12,6,0
WOM100191,2023-07-09 18:15:00,Jaipur South,Assault,Police_Report,4,5,9593,61.8,18,6,0
WOM100192,2023-07-28 02:08:00,Pune North,Abduction,Police_Report,1,3,12670,60.8,2,4,1
WOM100193,2023-01-06 15:55:00,Jaipur South,Rape,Police_Report,3,2,3259,34.9,15,4,0
WOM100194,2023-11-21 05:12:00,Lucknow Central,Assault,Social_Media,1,3,12754,47.1,5,1,0
WOM100195,2023-09-18 05:05:00,Chennai Central,Harassment,Police_Report,3,4,6796,56.8,5,0,0
WOM100196,2023-04-13 13:58:00,Chennai Central,Rape,Social_Media,2,3,11322,47.2,13,3,1
WOM100197,2023-08-03 13:47:00,Bhopal North,Abduction,Social_Media,1,2,9573,73.7,13,3,1
WOM100198,2023-09-07 03:05:00,Bengaluru East,Harassment,Police_Report,1,5,11442,55.7,3,3,0
WOM100199,2023-03-16 15:52:00,Lucknow Central,Abduction,Police_Report,4,3,5038,37.1,15,3,1
WOM100200,2023-04-13 09:23:00,Chennai Central,Assault,Police_Report,3,3,14069,38.5,9,3,0
WOM100201,2023-11-23 19:07:00,Mumbai South,Rape,Police_Report,2,4,14891,35.5,19,3,1
WOM100202,2023-09-17 10:56:00,Bhopal North,Harassment,Police_Report,4,5,7337,39.5,10,6,0
WOM100203,2023-09-12 01:51:00,Jaipur South,Rape,News,2,3,5799,50.3,1,1,0
WOM100204,2023-09-18 10:37:00,Pune North,Abduction,Police_Report,3,5,7606,46.5,10,0,1
WOM100205,2023-03-23 19:16:00,Jaipur South,Assault,Police_Report,4,2,14216,43.0,19,3,0
WOM100206,2023-07-22 18:39:00,Kolkata North,Harassment,Police_Report,2,5,10982,58.7,18,5,1
WOM100207,2023-05-14 16:26:00,Bengaluru East,Domestic Violence,Police_Report,3,2,10430,55.1,16,6,0
WOM100208,2023-07-07 04:24:00,Chennai Central,Molestation,Police_Report,2,4,10647,26.3,4,4,0
WOM100209,2023-09-21 21:22:00,Hyderabad West,Assault,Social_Media,5,4,8564,30.9,21,3,1
WOM100210,2023-09-27 14:15:00,Delhi Central,Harassment,Police_Report,4,4,12578,35.2,14,2,1
WOM100211,2023-08-12 01:04:00,Bengaluru East,Abduction,News,1,2,17309,37.9,1,5,1
WOM100212,2023-10-21 09:55:00,Bhopal North,Domestic Violence,Police_Report,1,3,7669,40.4,9,5,0
WOM100213,2023-09-20 20:00:00,Chennai Central,Harassment,News,2,2,13744,43.9,20,2,1
WOM100214,2023-01-23 17:11:00,Pune North,Abduction,News,3,5,11031,55.3,17,0,1
WOM100215,2023-12-15 00:37:00,Chennai Central,Abduction,Police_Report,3,5,10999,33.1,0,4,1
WOM100216,2023-05-09 01:43:00,Delhi Central,Assault,Police_Report,1,2,16759,38.5,1,1,1
WOM100217,2023-12-25 13:49:00,Pune North,Assault,Police_Report,2,4,15208,26.2,13,0,0
WOM100218,2023-04-03 13:12:00,Jaipur South,Harassment,Social_Media,1,4,11282,36.2,13,0,0
WOM100219,2023-02-23 19:45:00,Pune North,Domestic Violence,News,4,5,14963,46.9,19,3,1
WOM100220,2023-01-02 23:49:00,Bengaluru East,Abduction,Police_Report,3,5,4376,36.5,23,0,0
WOM100221,2023-11-12 12:31:00,Jaipur South,Abduction,Police_Report,2,3,2464,34.5,12,6,0
WOM100222,2023-08-05 20:12:00,Chennai Central,Assault,Social_Media,2,3,8436,42.3,20,5,1
WOM100223,2023-03-04 16:32:00,Bhopal North,Harassment,News,1,3,7226,53.5,16,5,0
WOM100224,2023-01-27 17:07:00,Lucknow Central,Rape,Social_Media,2,5,10282,36.2,17,4,0
WOM100225,2023-11-30 08:47:00,Bhopal North,Assault,News,1,3,15814,65.3,8,3,0
WOM100226,2023-02-10 21:11:00,Chennai Central,Abduction,Police_Report,1,5,10413,37.3,21,4,0
WOM100227,2023-03-31 03:51:00,Delhi Central,Abduction,Social_Media,1,5,15008,43.8,3,4,0
WOM100228,2023-11-02 03:50:00,Lucknow Central,Assault,Social_Media,3,2,14919,67.4,3,3,1
WOM100229,2023-06-28 06:07:00,Chennai Central,Harassment,Social_Media,3,3,4247,58.6,6,2,1
WOM100230,2023-03-16 14:50:00,Hyderabad West,Harassment,Police_Report,1,2,14127,47.9,14,3,1
WOM100231,2023-04-30 08:50:00,Bengaluru East,Harassment,Police_Report,2,2,15997,55.6,8,6,1
WOM100232,2023-11-01 16:21:00,Hyderabad West,Domestic Violence,Police_Report,1,3,16276,31.0,16,2,1
WOM100233,2023-07-15 19:34:00,Jaipur South,Harassment,Police_Report,3,5,10939,77.1,19,5,0
WOM100234,2023-10-05 20:29:00,Kolkata North,Harassment,Police_Report,3,5,11697,31.8,20,3,1
WOM100235,2023-03-22 19:41:00,Chennai Central,Domestic Violence,Social_Media,1,5,11959,53.1,19,2,1
WOM100236,2023-11-25 13:25:00,Mumbai South,Harassment,Police_Report,4,3,11091,66.8,13,5,0
WOM100237,2023-04-04 09:48:00,Mumbai South,Abduction,Police_Report,1,5,7281,53.9,9,1,0
WOM100238,2023-10-05 03:51:00,Pune North,Assault,Social_Media,1,2,8192,49.2,3,3,1
WOM100239,2023-04-15 17:30:00,Bhopal North,Harassment,News,2,4,13896,66.9,17,5,0
WOM100240,2023-07-23 09:30:00,Bhopal North,Assault,Police_Report,2,3,10868,59.3,9,6,1
WOM100241,2023-09-08 00:32:00,Bhopal North,Harassment,Police_Report,1,4,11879,42.7,0,4,0
WOM100242,2023-09-14 15:59:00,Hyderabad West,Rape,News,1,2,15845,73.1,15,3,0
WOM100243,2023-04-30 07:56:00,Bengaluru East,Abduction,News,2,4,11781,38.8,7,6,0
WOM100244,2023-02-01 17:54:00,Chennai Central,Harassment,Police_Report,1,2,6907,74.4,17,2,1
WOM100245,2023-11-21 06:40:00,Delhi Central,Harassment,Police_Report,1,4,20304,58.9,6,1,0
WOM100246,2023-03-28 04:43:00,Pune North,Assault,Police_Report,3,4,10286,44.1,4,1,0
WOM100247,2023-08-01 05:48:00,Jaipur South,Harassment,Social_Media,4,5,10054,34.7,5,1,1
WOM100248,2023-02-27 15:09:00,Lucknow Central,Harassment,Police_Report,2,4,12620,52.4,15,0,0
WOM100249,2023-07-27 04:36:00,Jaipur South,Abduction,Police_Report,4,2,10916,40.7,4,3,0
WOM100250,2023-05-04 19:14:00,Chennai Central,Rape,Police_Report,4,2,11233,51.6,19,3,1
WOM100251,2023-08-14 22:32:00,Kolkata North,Assault,News,1,2,9205,61.5,22,0,0
WOM100252,2023-10-14 01:27:00,Bhopal North,Domestic Violence,Police_Report,4,3,15366,63.3,1,5,1
WOM100253,2023-04-02 05:33:00,Lucknow Central,Rape,Police_Report,1,2,15951,70.8,5,6,0
WOM100254,2023-11-01 11:32:00,Hyderabad West,Harassment,News,2,3,18758,34.6,11,2,1
WOM100255,2023-03-22 01:34:00,Chennai Central,Rape,Police_Report,3,2,19348,53.6,1,2,1
WOM100256,2023-11-16 01:31:00,Kolkata North,Domestic Violence,Police_Report,1,3,3580,28.8,1,3,1
WOM100257,2023-02-15 15:26:00,Hyderabad West,Assault,Social_Media,1,4,13926,50.1,15,2,1
